"Guid","CurrencyIsoCode","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
05216734-7b6a-4659-aa3a-b5e9734c3a37,USD,NAME,Left,"#N/A","#N/A",Print_Names__c,30.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",7a7f3413-f4b8-4d9c-8e48-f765316a981e,"#N/A","#N/A",true,50.0
09655272-5338-4a4c-86ad-787d7fecc7c5,USD,DESCRIPTION,Left,"#N/A","#N/A",Print_Descriptions__c,31.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",23b2925f-6250-4b29-ad15-bb56898ba781,"#N/A","#N/A",false,30.0
12e7b5e6-6e6e-4584-b248-db3b5a8dbfc8,USD,DISC (%),Right,"#N/A","#N/A",Print_Discounts__c,50.0,false,SBQQ__TotalDiscountRate__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",23b2925f-6250-4b29-ad15-bb56898ba781,"#N/A","#N/A",false,10.0
259d784d-3075-4667-be88-e20841de488a,USD,UNIT PRICE,Right,"#N/A","#N/A",Print_List_Prices__c,40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",7a7f3413-f4b8-4d9c-8e48-f765316a981e,"#N/A","#N/A",false,10.0
3203fb15-97c7-4330-84d0-90c36bb39197,USD,PART#,Left,"#N/A","#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",7a7f3413-f4b8-4d9c-8e48-f765316a981e,"#N/A","#N/A",false,10.0
41f125d4-d909-4ba6-b99c-7cd9695a8ed7,USD,QTY,Center,"#N/A","#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",23b2925f-6250-4b29-ad15-bb56898ba781,"#N/A","#N/A",false,5.0
4f1b6fb5-2103-4f68-ae63-43eba94fddda,USD,EXTENDED,Right,"#N/A","#N/A",Print_Line_Item_Prices__c,60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",18f59a9d-f838-4aca-969d-024238ebf298,"#N/A","#N/A",false,15.0
5285116c-9b41-4a46-878a-df48a0ed0d23,USD,DISC (%),Right,"#N/A","#N/A",Print_Discounts__c,50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",7a7f3413-f4b8-4d9c-8e48-f765316a981e,"#N/A","#N/A",false,10.0
55bdb045-e510-4e78-b322-0775e6223a33,USD,QTY,Center,"#N/A","#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",18f59a9d-f838-4aca-969d-024238ebf298,"#N/A","#N/A",false,5.0
636cd560-1154-4f5b-81f1-2f409d88a556,USD,QTY,Center,"#N/A","#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",7a7f3413-f4b8-4d9c-8e48-f765316a981e,"#N/A","#N/A",false,5.0
71b47734-2e9c-4e90-a501-14eb7f559698,USD,NAME,Left,"#N/A","#N/A",Print_Names__c,30.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",23b2925f-6250-4b29-ad15-bb56898ba781,"#N/A","#N/A",false,20.0
8f3fb0ba-128c-4b7f-950e-009dceeaa540,USD,EXTENDED,Right,"#N/A","#N/A",Print_Line_Item_Prices__c,60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",23b2925f-6250-4b29-ad15-bb56898ba781,"#N/A","#N/A",false,15.0
921298c4-c275-41df-916d-635c32787e0f,USD,PART#,Left,"#N/A","#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",23b2925f-6250-4b29-ad15-bb56898ba781,"#N/A","#N/A",false,10.0
9e26fa82-cb74-4b76-9561-ade2242f131d,USD,PART#,Left,"#N/A","#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",18f59a9d-f838-4aca-969d-024238ebf298,"#N/A","#N/A",false,10.0
a8ad90d0-3cf1-4363-a974-7a9509218f6e,USD,UNIT PRICE,Right,"#N/A","#N/A",Print_List_Prices__c,40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",18f59a9d-f838-4aca-969d-024238ebf298,"#N/A","#N/A",false,10.0
ae449543-1732-4d00-a4dc-0c7e3398634c,USD,DISC (%),Right,"#N/A","#N/A",Print_Discounts__c,50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",18f59a9d-f838-4aca-969d-024238ebf298,"#N/A","#N/A",false,10.0
ae69d2c0-e18e-4d94-bf90-9c9ef0aaf93f,USD,DESCRIPTION,Left,"#N/A","#N/A",Print_Descriptions__c,30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",7a7f3413-f4b8-4d9c-8e48-f765316a981e,"#N/A","#N/A",true,50.0
b8655a81-9227-474e-b45a-ab5d10699944,USD,EXTENDED,Right,"#N/A","#N/A",Print_Line_Item_Prices__c,60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",7a7f3413-f4b8-4d9c-8e48-f765316a981e,"#N/A","#N/A",false,15.0
d0333696-8a1a-4b12-abe8-43583c14e902,USD,NAME,Left,"#N/A","#N/A",Print_Names__c,30.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",18f59a9d-f838-4aca-969d-024238ebf298,"#N/A","#N/A",true,50.0
f2106253-1d18-4e73-899e-b53807c7771c,USD,UNIT PRICE,Right,"#N/A","#N/A",Print_List_Prices__c,40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",23b2925f-6250-4b29-ad15-bb56898ba781,"#N/A","#N/A",false,10.0
f89683af-3543-40f7-afbd-bcd29e0a4cad,USD,DESCRIPTION,Left,"#N/A","#N/A",Print_Descriptions__c,30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",18f59a9d-f838-4aca-969d-024238ebf298,"#N/A","#N/A",true,50.0
